cell_id,demand,visit_count,trajectory_count,entry_count
R002C024,0.0,0,0,0
R002C025,0.0,0,0,0
R002C026,0.0,0,0,0
R002C027,0.0,0,0,0
R002C028,0.0,0,0,0
R002C029,0.0,0,0,0
R002C030,0.0,0,0,0
R002C031,0.0,0,0,0
R002C032,0.0,0,0,0
R002C033,0.0,0,0,0
R002C034,0.0,0,0,0
R002C035,0.0,0,0,0
R002C036,0.0,0,0,0
R002C037,0.0,0,0,0
R002C038,0.0,0,0,0
R002C039,0.0,0,0,0
R002C040,0.0,0,0,0
R002C041,0.2815491476650243,4,1,1
R002C042,0.21845079315310056,2,1,1
R002C043,0.600522203673811,12,1,4
R002C044,0.45213228199626626,8,1,3
R002C045,0.0,0,0,0
R002C046,0.21845079315310056,2,1,1
R002C047,0.18690161589713872,1,1,1
R002C048,0.21845079315310056,2,1,1
R002C049,0.18690161589713872,1,1,1
R002C050,0.18690161589713872,1,1,1
R003C000,0.18690161589713872,1,1,1
R003C001,0.6414273455320376,14,1,3
R003C002,0.38577016129521086,3,2,2
R003C003,0.21845079315310056,2,1,1
R003C004,0.600522203673811,12,1,4
R003C005,0.5058746719059254,9,1,4
R003C006,0.21845079315310056,2,1,1
R003C007,0.27219318306275964,3,1,2
R003C008,0.24999997040906244,3,1,1
R003C009,0.0,0,0,0
R003C010,0.0,0,0,0
R003C011,0.0,0,0,0
R003C012,0.0,0,0,0
R003C013,0.0,0,0,0
R003C014,0.0,0,0,0
R003C015,0.0,0,0,0
R003C016,0.0,0,0,0
R003C017,0.0,0,0,0
R003C018,0.0,0,0,0
R003C019,0.0,0,0,0
R003C020,0.0,0,0,0
R003C021,0.0,0,0,0
R003C022,0.0,0,0,0
R003C023,0.0,0,0,0
R003C024,0.0,0,0,0
R003C025,0.0,0,0,0
R003C026,0.0,0,0,0
R003C027,0.0,0,0,0
R003C028,0.0,0,0,0
R003C029,0.0,0,0,0
R003C030,0.0,0,0,0
R003C031,0.0,0,0,0
R003C032,0.0,0,0,0
R003C033,0.0,0,0,0
R003C034,0.0,0,0,0
R003C035,0.0,0,0,0
R003C036,0.0,0,0,0
R003C037,0.0,0,0,0
R003C038,0.0,0,0,0
R003C039,0.0,0,0,0
R003C040,0.24999997040906244,3,1,1
R003C041,0.461488246598531,9,1,2
R003C042,0.2815491476650243,4,1,1
R003C043,0.21845079315310056,2,1,1
R003C044,0.4743254946499635,8,1,4
R003C045,0.3890339274843425,6,1,3
R003C046,0.2406440058067978,2,1,2
R003C047,0.21845079315310056,2,1,1
R003C048,0.18690161589713872,1,1,1
R003C049,0.21845079315310056,2,1,1
R003C050,0.2406440058067978,2,1,2
R004C000,0.0,0,0,0
R004C001,0.461488246598531,9,1,2
R004C002,0.21845079315310056,2,1,1
R004C003,0.24999997040906244,3,1,1
R004C004,0.4299390693425691,8,1,2
R004C005,0.33529153757468344,5,1,2
R004C006,0.2815491476650243,4,1,1
R004C007,0.0,0,0,0
R004C008,0.0,0,0,0
R004C009,0.0,0,0,0
R004C010,0.0,0,0,0
R004C011,0.0,0,0,0
R004C012,0.0,0,0,0
R004C013,0.0,0,0,0
R004C014,0.0,0,0,0
R004C015,0.0,0,0,0
R004C016,0.0,0,0,0
R004C017,0.0,0,0,0
R004C018,0.0,0,0,0
R004C019,0.0,0,0,0
R004C020,0.0,0,0,0
R004C021,0.0,0,0,0
R004C022,0.0,0,0,0
R004C023,0.0,0,0,0
R004C024,0.0,0,0,0
R004C025,0.0,0,0,0
R004C026,0.0,0,0,0
R004C027,0.0,0,0,0
R004C028,0.0,0,0,0
R004C029,0.0,0,0,0
